"County","State","Population.Population Percent Change","Population.2020 Population","Population.2010 Population","Age.Percent Under 5 Years","Age.Percent Under 18 Years","Age.Percent 65 and Older","Miscellaneous.Percent Female","Ethnicities.White Alone","Ethnicities.Black Alone","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.Hispanic or Latino","Ethnicities.White Alone, not Hispanic or Latino","Miscellaneous.Veterans","Miscellaneous.Foreign Born","Housing.Housing Units","Housing.Homeownership Rate","Housing.Median Value of Owner-Occupied Units","Housing.Households","Housing.Persons per Household","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Language Other than English at Home","Education.High School or Higher","Education.Bachelor's Degree or Higher","Sales.Accommodation and Food Services Sales","Miscellaneous.Manufacturers Shipments","Sales.Retail Sales","Miscellaneous.Mean Travel Time to Work","Income.Median Houseold Income","Income.Per Capita Income","Employment.Nonemployer Establishments","Employment.Firms.Total","Employment.Firms.Men-Owned","Employment.Firms.Women-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned","Population.Population per Square Mile","Miscellaneous.Land Area"
"Neosho County","KS","-0.6","16416","16512","7.1","24.8","18.4","50.3","94.5","1.3","1.4","0.8","0","1.9","5.2","90.3","1494","2.1","7729","73.5","68900","6508","2.45","-1","-1","89.8","16.2","-1","-1","-1","-1","42071","-1","-1","-1","-1","-1","-1","-1","-1","-1","28.9","413.73"
"Ness County","KS","-0.1","3105","3107","5.9","23.2","23.8","50.8","96.6","0.7","1.3","0.3","0","1.2","9.8","88.1","289","1.9","1732","82.5","57200","1340","2.26","-1","-1","91","19","-1","-1","-1","-1","48800","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.9","575.95"
"Norton County","KS","-2","5560","5671","5.2","19","19.4","44.4","94.1","3.1","0.4","0.8","0","1.5","5.3","89.1","556","2.2","2530","74.6","66000","2248","2.13","-1","-1","87.7","15.4","-1","-1","-1","-1","46029","-1","-1","-1","-1","-1","-1","-1","-1","-1","6.5","622.17"
"Osage County","KS","-2.2","15936","16295","5.6","23.8","18.5","50","96.4","0.5","0.8","0.3","0","1.9","2.7","94.1","1583","0.9","7490","78.2","99000","6558","2.45","-1","-1","90.6","20.6","-1","-1","-1","-1","50205","-1","-1","-1","-1","-1","-1","-1","-1","-1","23.1","156.25"
"Osborne County","KS","-2.6","3756","3858","5.4","20.5","24.8","49.6","97.3","0.3","0.6","0.5","0","1.3","1.8","95.9","320","0.9","2188","79.4","51200","1727","2.16","-1","-1","88.5","18","-1","-1","-1","-1","37925","-1","-1","-1","-1","-1","-1","-1","-1","-1","4.3","1843.13"
"Ottawa County","KS","-0.4","6065","6091","5.9","23.9","18","47.9","96.8","0.9","0.5","0.2","0","1.5","3.1","94.1","493","1","2774","81","93400","2408","2.47","-1","-1","92.3","21","-1","-1","-1","-1","58396","-1","-1","-1","-1","-1","-1","-1","-1","-1","8.5","295.23"
"Pawnee County","KS","-0.8","6916","6973","4.9","19.3","19","44.4","91.5","5.1","0.7","0.4","0.1","2.2","7.8","84.7","646","2.2","3163","72.3","73700","2545","2.36","-1","-1","90","22.9","-1","-1","-1","-1","44078","-1","-1","-1","-1","-1","-1","-1","-1","-1","9.2","344.4"
"Phillips County","KS","-1.9","5533","5642","6.5","23.5","21.4","50.7","97","0.5","0.5","0.8","0","1.2","3","94.4","390","0.9","3051","77.8","64400","2388","2.29","-1","-1","91.8","18.3","-1","-1","-1","-1","43059","-1","-1","-1","-1","-1","-1","-1","-1","-1","6.4","1143.3"
"Pottawatomie County","KS","6","22897","21604","8.2","29.3","13.2","50.2","94","1.4","0.9","1","0.1","2.6","5.2","89.7","1553","2.2","9042","78","153700","7974","2.72","-1","-1","94.6","29.3","-1","-1","-1","-1","56854","-1","-1","-1","-1","-1","-1","-1","-1","-1","25.7","639.32"
"Pratt County","KS","2","9850","9656","7.2","24.4","17.9","50.1","94.8","1.4","1","0.8","0","2","6.8","88.9","769","2.6","4481","69.2","79000","4074","2.29","-1","-1","88.6","23.4","-1","-1","-1","-1","46035","-1","-1","-1","-1","-1","-1","-1","-1","-1","13.1","273.3"
"Rawlins County","KS","2.6","2584","2519","5.7","19.8","26.6","48.8","97.8","0.5","0.2","0.4","0","1.1","4.8","93.3","260","2.5","1456","70","66700","1224","2.04","-1","-1","91.4","23.3","-1","-1","-1","-1","43482","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.4","422.11"
"Reno County","KS","-1.1","63794","64511","6","23.2","18","49.6","92.9","3.4","0.8","0.6","0.1","2.2","9","84.8","4952","2.5","28323","68.2","90600","25693","2.39","-1","-1","88.7","19.8","-1","-1","-1","-1","43798","-1","-1","-1","-1","-1","-1","-1","-1","-1","51.4","787.46"
"Republic County","KS","-3.6","4803","4980","5.5","19.2","27.4","51","97.5","0.7","0.2","0.6","0","1","1.5","96.4","543","0.6","2873","80.3","49200","2274","2.12","-1","-1","94.4","19.8","-1","-1","-1","-1","39572","-1","-1","-1","-1","-1","-1","-1","-1","-1","6.9","501.86"
"Rice County","KS","-0.7","10015","10083","6.7","23.8","17.5","49.8","94.1","1.8","1.1","0.5","0.1","2.4","11.1","84.1","800","3.8","4548","73.1","74200","3914","2.44","-1","-1","89.9","20.9","-1","-1","-1","-1","45336","-1","-1","-1","-1","-1","-1","-1","-1","-1","13.9","418.04"
"Riley County","KS","5.7","75194","71115","6.9","17.6","7.9","46.6","84","6.9","0.8","4.8","0.2","3.2","8.1","77.1","5064","6.4","29713","42.5","170400","25895","2.47","-1","-1","95.4","45","-1","-1","-1","-1","43962","-1","-1","-1","-1","-1","-1","-1","-1","-1","116.6","435.28"
"Rooks County","KS","-0.5","5155","5181","6.3","23.3","20.6","50.9","97.3","0.6","0.3","0.4","0.1","1.3","2.5","95.1","468","1","2760","74.9","62500","2349","2.15","-1","-1","91.5","20.9","-1","-1","-1","-1","42449","-1","-1","-1","-1","-1","-1","-1","-1","-1","5.8","360.53"
"Rush County","KS","-3.3","3197","3307","4.3","19.5","24.2","50.4","97.1","0.4","0.8","0.2","0","1.5","3.3","94.2","315","0.9","1861","75","57300","1529","2.07","-1","-1","90.7","19.4","-1","-1","-1","-1","42610","-1","-1","-1","-1","-1","-1","-1","-1","-1","4.6","711.3"
"Russell County","KS","-0.2","6956","6970","6.3","21.6","22.4","49.9","95.4","1.1","1","0.9","0","1.6","2.5","93.1","619","0.7","3887","75.3","65000","3317","2.06","-1","-1","90.6","21.8","-1","-1","-1","-1","37111","-1","-1","-1","-1","-1","-1","-1","-1","-1","7.9","522.25"
"Saline County","KS","0.3","55755","55606","6.8","24.2","15.7","50.3","90","3.6","0.8","2.5","0.1","3","10.9","80.3","4288","5.1","24221","67.1","119500","22173","2.44","-1","-1","89","23.9","-1","-1","-1","-1","47215","-1","-1","-1","-1","-1","-1","-1","-1","-1","77.2","564.01"
"Scott County","KS","2.9","5080","4936","6.4","25.9","17.8","49.5","96.9","0.6","1","0.6","0.1","0.7","17.5","80.4","314","13.4","2193","73.3","104800","2121","2.28","-1","-1","86.4","23.4","-1","-1","-1","-1","50605","-1","-1","-1","-1","-1","-1","-1","-1","-1","6.9","3239.1"
"Sedgwick County","KS","2.1","508803","498365","7.6","26.5","12.8","50.4","81","9.5","1.4","4.4","0.1","3.6","13.9","68.9","36325","8.4","214408","64.9","124000","192651","2.57","-1","-1","88.6","28.7","-1","-1","-1","-1","49865","-1","-1","-1","-1","-1","-1","-1","-1","-1","499.6","590.62"
"Seward County","KS","2.2","23465","22952","9.8","31.3","8.8","48.5","89.1","4.2","1.5","3","0.2","1.9","59.1","32.9","774","32.2","8101","63.9","90000","7429","3.05","-1","-1","63.3","12.6","-1","-1","-1","-1","50185","-1","-1","-1","-1","-1","-1","-1","-1","-1","35.9","430.38"
"Shawnee County","KS","0.3","178406","177934","6.7","24.3","16.1","51.5","84.4","8.8","1.4","1.4","0.1","3.9","11.6","74.8","16162","4.6","79466","64.4","120300","72584","2.4","-1","-1","90.3","28.6","-1","-1","-1","-1","48451","-1","-1","-1","-1","-1","-1","-1","-1","-1","327.1","276.74"
"Sheridan County","KS","-0.7","2539","2556","4.8","23.4","22.7","48.8","97.9","0.2","0.5","0.2","0.1","1.2","3.8","94.6","241","0.7","1261","78.3","77900","1099","2.29","-1","-1","90.8","22.4","-1","-1","-1","-1","48674","-1","-1","-1","-1","-1","-1","-1","-1","-1","2.9","2318.6"
"Sherman County","KS","1.7","6110","6010","7","23.8","18.3","50","95.3","1","0.6","1.1","0.1","1.8","12.2","84","471","2.4","3123","54.5","74200","2727","2.17","-1","-1","88.9","15.7","-1","-1","-1","-1","38634","-1","-1","-1","-1","-1","-1","-1","-1","-1","5.7","643.94"
"Smith County","KS","-2.2","3769","3853","5.2","19.8","26.3","50.1","97.1","0.5","0.5","0.2","0.1","1.8","1.7","95.5","456","0.4","2245","79.7","60800","1726","2.15","-1","-1","89.2","16.7","-1","-1","-1","-1","45556","-1","-1","-1","-1","-1","-1","-1","-1","-1","4.3","1004.68"
"Stafford County","KS","-3.2","4297","4437","5.3","24","20.5","49.1","95.4","0.7","1.9","0.5","0","1.4","13.1","84","355","6.2","2307","81.5","60900","1884","2.28","-1","-1","87.9","19.1","-1","-1","-1","-1","43292","-1","-1","-1","-1","-1","-1","-1","-1","-1","5.6","817.84"
"Stanton County","KS","-5.5","2111","2235","7.9","27.9","16.6","49.7","94.8","0.9","2.3","0.3","0.2","1.5","36.2","60.9","76","19","980","77.7","81000","775","2.79","-1","-1","76.9","18.5","-1","-1","-1","-1","46382","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.3","392.78"
"Stevens County","KS","1.3","5801","5724","7.8","30.8","13.2","50","95.6","0.8","1.6","0.4","0.2","1.4","34.9","62.3","361","20.2","2287","75.2","86200","1936","2.91","-1","-1","80.6","17.6","-1","-1","-1","-1","54494","-1","-1","-1","-1","-1","-1","-1","-1","-1","7.9","546.29"
"Sumner County","KS","-2.5","23528","24132","6.6","24.9","17.1","50.1","94.6","1.3","1.2","0.4","0","2.4","5.2","90.1","1899","0.7","10834","77.4","85500","9110","2.58","-1","-1","90.9","17.8","-1","-1","-1","-1","47894","-1","-1","-1","-1","-1","-1","-1","-1","-1","20.4","883.49"
"Thomas County","KS","-0.1","7891","7900","7.2","23","15.5","50.8","96","0.8","1","0.7","0.1","1.4","5.4","91.4","531","2.3","3546","68.5","97200","3120","2.42","-1","-1","91.6","27.9","-1","-1","-1","-1","48187","-1","-1","-1","-1","-1","-1","-1","-1","-1","7.4","161.18"
"Trego County","KS","-3.3","2902","3001","4.4","18","24.2","50.6","97.4","0.7","0.3","0.4","0.1","1.1","2","95.6","306","1.5","1676","74.8","74500","1232","2.35","-1","-1","90.2","21.5","-1","-1","-1","-1","45714","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.4","513.79"
"Wabaunsee County","KS","-0.4","7022","7053","7.5","25","17.5","49.3","96.1","0.8","0.7","0.3","0","2.2","3.4","93.2","590","0.7","3254","84.3","112200","2693","2.58","-1","-1","95.4","20.6","-1","-1","-1","-1","54694","-1","-1","-1","-1","-1","-1","-1","-1","-1","8.9","576.75"
"Wallace County","KS","1.4","1506","1485","5.8","24.6","21.4","50.8","96.8","0.9","0.5","0.1","0","1.7","6.7","91.2","100","5","778","77.6","61900","611","2.54","-1","-1","87.5","23.5","-1","-1","-1","-1","47454","-1","-1","-1","-1","-1","-1","-1","-1","-1","1.6","434.67"
"Washington County","KS","-3.5","5598","5799","5.5","22.7","23.6","49.6","97.4","0.6","0.5","0.4","0","1","3.4","94.4","514","2.3","2950","79.4","58300","2487","2.26","-1","-1","90.3","16.1","-1","-1","-1","-1","42515","-1","-1","-1","-1","-1","-1","-1","-1","-1","6.5","394.27"
"Wichita County","KS","-2.6","2176","2234","7.7","26.4","18","48.2","96.9","1.1","0.9","0.2","0","0.9","28.4","69.9","145","13.8","1045","73.1","71100","877","2.52","-1","-1","77.4","16.6","-1","-1","-1","-1","53018","-1","-1","-1","-1","-1","-1","-1","-1","-1","3.1","996.51"
"Wilson County","KS","-4","9028","9409","5.8","23.9","20.1","50.6","94.6","0.5","1.5","0.7","0.1","2.5","2.8","92.3","753","1.1","4652","75","63200","3791","2.4","-1","-1","81.9","13","-1","-1","-1","-1","38917","-1","-1","-1","-1","-1","-1","-1","-1","-1","16.5","542.88"
"Woodson County","KS","-4.6","3157","3309","4.8","20.9","22.6","50.4","95.8","0.5","1.4","0.1","0","2.2","2.7","93.6","312","0.5","2006","81","50900","1517","2.12","-1","-1","90.7","18.2","-1","-1","-1","-1","33839","-1","-1","-1","-1","-1","-1","-1","-1","-1","6.6","405.91"
"Wyandotte County","KS","2.6","161636","157505","8.4","28.3","11.2","50.7","66.9","24.8","1.3","3.7","0.2","3.1","27.3","42.5","10210","14.6","67339","60.3","93800","57291","2.74","-1","-1","78.2","15.5","-1","-1","-1","-1","39402","-1","-1","-1","-1","-1","-1","-1","-1","-1","1039","542.43"
"Adair County","KY","2.9","19204","18656","5.5","21","16.4","50.6","95.1","3","0.3","0.3","0.1","1.2","1.9","93.5","1378","0.9","8504","74.7","78600","7241","2.44","-1","-1","73.7","13.9","-1","-1","-1","-1","32524","-1","-1","-1","-1","-1","-1","-1","-1","-1","46","835.91"
"Allen County","KY","2.1","20384","19956","6.2","23.9","16.1","50.6","97.1","1.1","0.3","0.3","0","1.2","1.9","95.4","1508","1.4","9320","73.7","96800","8061","2.46","-1","-1","76.4","12.7","-1","-1","-1","-1","40008","-1","-1","-1","-1","-1","-1","-1","-1","-1","58","617.14"
